Reference, Quantity, Value, Footprint, Datasheet, Cost, MANUFACTURER
C2 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 ,21,"100nF","Capacitor_SMD:C_0402_1005Metric","~","0.0062",""
C5 ,1,"10nF","Capacitor_SMD:C_0402_1005Metric","~","0.0062",""
C6 C7 ,2,"22pF","Capacitor_SMD:C_0402_1005Metric","~","0.0062",""
C1 C3 C4 C8 C11 C12 C13 ,7,"4.7uF","Capacitor_SMD:C_0402_1005Metric","~","0.0062",""
C9 C10 ,2,"47uF","","~"
D1 ,1,"1N5712","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://www.microsemi.com/document-portal/doc_download/8865-lds-0040-datasheet"
D2 ,1,"LED","","~"
J1 ,1,"Conn_01x02","","~"
J2 ,1,"Conn_01x06","","~"
L1 L2 ,2,"4.7uH","","~"
L3 ,1,"3.3uH","","~"
R10 ,1,"100","Resistor_SMD:R_0805_2012Metric","~","0.00217",""
R11 ,1,"150","Resistor_SMD:R_0805_2012Metric","~","0.00217",""
R14 ,1,"0","Resistor_SMD:R_0805_2012Metric","~","0.00217",""
R16 R17 R18 R19 R22 R23 ,6,"1k","Resistor_SMD:R_0805_2012Metric","~","0.00217",""
R1 R2 R5 R6 R7 ,5,"100k","Resistor_SMD:R_0805_2012Metric","~","0.00217",""
R3 ,1,"33k","Resistor_SMD:R_0805_2012Metric","~","0.00217",""
R4 ,1,"150k","Resistor_SMD:R_0805_2012Metric","~","0.00217",""
R8 R9 R12 R13 R15 R20 R21 ,7,"4.7k","Resistor_SMD:R_0805_2012Metric","~","0.00217",""
U1 ,1,"XC6SLX16-FTG256","Package_BGA:BGA-256_17.0x17.0mm_Layout16x16_P1.0mm_Ball0.5mm_Pad0.4mm_NSMD","https://circuitmaker.com/Components/Details/CMP-969848-2","2.85",""
U2 U3 ,2,"NCP1529A","Package_TO_SOT_SMD:SOT-23-5","https://www.onsemi.com/pub/Collateral/NCP1529-D.PDF","0.089",""
U4 ,1,"MP2359","Package_TO_SOT_SMD:SOT-23-6","https://www.monolithicpower.com/en/documentview/productdocument/index/version/2/document_type/Datasheet/lang/en/sku/MP235","0.072",""
U5 ,1,"M25P80","Package_SO:SOP-8_3.9x4.9mm_P1.27mm","https://www.micron.com/-/media/client/global/documents/products/data-sheet/nor-flash/serial-nor/m25p/m25p80.pdf","0.2",""
U6 ,1,"MT41K128M16JT-125_IT_K","BGA80P96C6X16_800X1400X110","","","Micron"
X1 ,1,"SG-5032CAN","Oscillator:Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm","https://support.epson.biz/td/api/doc_check.php?dl=brief_SG5032CAN&lang=en"
